"especie","registros"
"Palicourea sp.","3"
"Paulownia tomentosa","3"
"Matayba elegans","3"
"Tabernaemontana persicariifolia","3"
"Caesalpinia ebano H. Karst.","3"
"Tipuana tipu","2"
"Juglans cinerea","2"
"Magnolia delavayi","2"
"Morisonia amplissima","2"
"Gustavia superba","2"
"Garcinia cochinchinensis","2"
"Ochna thomasiana","2"
"Ocotea sp.","2"
"Filicium decipiens","2"
"Ficus velutina","2"
"Pachypodium lamerei","2"
"Pandanus utilis","2"
"Phenax mexicanus","2"
"Phytolacca dioica","2"
"Pimenta dioica","2"
"Euphorbia sp.","2"
"Podocarpus macrophyllus","2"
"Delostoma integrifolium","2"
"Protium apiculatum","2"
"Pterocarpus indicus","2"
"Pterocarpus officinalis","2"
"Roupala montana","2"
"Conocarpus cf. erectus L.","2"
"Chloroleucon mangense","2"
"Ceiba schottii","2"
"Casimiroa edulis","2"
"Carpentaria acuminata","2"
"Brugmansia aurea","2"
"Laetia americana","2"
"Amphitecna latifolia","2"
"Triplaris weigeltiana","2"
"Allophylus angustatus","2"
"Alibertia patinoi","2"
"Vismia guianensis","2"
"Wettinia kalbreyeri","2"
"Xylopia ligustrifolia","2"
"Xylosma spiculifera","2"
"Yucca arborescens","2"
"Zanthoxylum gentryi","2"
"Dipteryx cf. oleifera","1"
"Byrsonima spicata","1"
"Platypodium elegans","1"
"Pittosporum undulatum","1"
"Acca sellowiana","1"
"Ficus goldmanii","1"
"Bulnesia carrapo Killip y Dugand","1"
"Pereskia grandifolia","1"
"Oenocarpus bataua","1"
"Livistona drudei","1"
"Ocotea cf. tessmannii","1"
"Brosimum guianense","1"
"Albizia coriaria","1"
"Artocarpus communis","1"
"Araucaria bidwillii","1"
"Nerium oleander","1"
"Magnolia champaca","1"
"Myroxylon balsamum","1"
"Alnus acuminata","1"
"Leucaena magnifica","1"
"Trophis caucana","1"
"Licania tomentosa (Benth.) Fritsch","1"
"Libidibia coriaria","1"
"Alchornea triplinervia","1"
"Hamamelis mollis","1"
"Yucca gigantea","1"
"Hasseltia floribunda","1"
"Jacquinia arborea","1"
"Ceiba samauma","1"
"Joannesia princeps","1"
"Siparuna aspera","1"
"Senna pistaciifolia","1"
"Clausena lansium","1"
"Schefflera arboricola","1"
"Salix babylonica","1"
"Pyracantha coccinea","1"
"Cupaniopsis anacardioides","1"
"Cupressus macrocarpa","1"
"Pseudobombax ellipticum","1"
"Plumeria pudica","1"
"Plumeria cutinifolia","1"
