"nombre_cientifico","reg"
"Ficus goldmannii","1"
"Ficus tonduzii","1"
"Gardenia jasminoides","1"
"Grevillea rosmarinifolia","1"
"Gustavia speciosa","1"
"Hamelia patens","1"
"Hibiscus mutabilis","1"
"Lonicera caprifolium","1"
"Matayba elegans","1"
"Miconia chlorocarpa","1"
"Miconia lingustrina","1"
"Mimosa quitensis","1"
"Monlanoa ovitafolia","1"
"Ochna thomasiana","1"
"Palicuria sp","1"
"Pereskia grandiflora","1"
"Phoenix robellina","1"
"Photinia xfraseri","1"
"Pittosporum undulatum","1"
"Ptychosperma elegans","1"
"Tulbaghia violacea","1"
"Xylopia aromatica","1"
